모델번호,시리얼,지역,자치구,행정동
SDOT001,V02Q1940081,residential_area,Dongdaemun-gu,Dapsip-ri1(il)-dong
SDOT001,V02Q1940076,traditional_markets,Nowon-gu,Gongneung1(il)-dong
SDOT001,V02Q1940084,residential_area,Dongdaemun-gu,Jeonnong2(i)-dong
SDOT001,V02Q1940075,residential_area,Nowon-gu,Sanggye8(pal)-dong
SDOT001,V02Q1940100,industrial_area,Gangnam-gu,Ilwon1(il)-dong
SDOT001,V02Q1940092,residential_area,Dongdaemun-gu,Dapsip-ri2(i)-dong
SDOT001,V02Q1940094,residential_area,Gangnam-gu,Segok-dong
SDOT001,V02Q1940103,industrial_area,Gangseo-gu,Banghwa3(sam)-dong
SDOT001,V02Q1940104,residential_area,Gangseo-gu,Deungchon1(il)-dong
SDOT001,V02Q1940089,residential_area,Dongdaemun-gu,Hoegi-dong
SDOT001,V02Q1940085,residential_area,Dongdaemun-gu,Jangan1(il)-dong
SDOT001,V02Q1940086,residential_area,Guro-gu,Gocheok1(il)-dong
SDOT001,V02Q1940101,residential_area,Dongdaemun-gu,Yongshin-dong
SDOT001,V02Q1940102,residential_area,Gangnam-gu,Ilwonbon-dong
SDOT001,V02Q1940082,industrial_area,Gangnam-gu,Ilwon1(il)-dong
SDOT001,V02Q1940083,residential_area,Guro-gu,Gaebong2(i)-dong
SDOT001,V02Q1940099,residential_area,Dongdaemun-gu,Hwigyeong1(il)-dong
SDOT001,V02Q1940093,industrial_area,Gangseo-gu,Banghwa3(sam)-dong
SDOT001,V02Q1940096,commercial_area,Dongdaemun-gu,Jangan1(il)-dong
SDOT001,V02Q1940090,industrial_area,Guro-gu,Sugung-dong
SDOT001,V02Q1940091,residential_area,Dobong-gu,Chang5-dong
SDOT001,V02Q1940088,commercial_area,Dongdaemun-gu,Dapsip-ri1(il)-dong
SDOT001,V02Q1940097,residential_area,Dongdaemun-gu,Hwigyeong2(i)-dong
SDOT001,V02Q1940095,residential_area,Yangcheon-gu,Mok4(sa)-dong
SDOT001,V02Q1940119,residential_area,Dongdaemun-gu,Jangan2(i)-dong
SDOT001,V02Q1940116,commercial_area,Dongdaemun-gu,Yongshin-dong
SDOT001,V02Q1940109,residential_area,Dongdaemun-gu,Hwigyeong2(i)-dong
SDOT001,V02Q1940123,residential_area,Gangnam-gu,Daechi1(il)-dong
SDOT001,V02Q1940114,residential_area,Gangseo-gu,Gayang1(il)-dong
SDOT001,V02Q1940105,residential_area,Gangseo-gu,Banghwa1(il)-dong
SDOT001,V02Q1940113,residential_area,Gangseo-gu,Yeomchang-dong
SDOT001,V02Q1940120,residential_area,Dongdaemun-gu,Jangan2(i)-dong
SDOT001,V02Q1940107,residential_area,Gangbuk-gu,Samyang-dong
SDOT001,V02Q1940115,residential_area,Dongdaemun-gu,Imun1(il)-dong
SDOT001,V02Q1940122,residential_area,Dongdaemun-gu,Cheongnyangni-dong
SDOT001,V02Q1940111,residential_area,Guro-gu,Sindorim-dong
SDOT001,V02Q1940124,residential_area,Gangseo-gu,Balsan1(il)-dong
